"","X","zipest","zipvar","linest","linvar","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","zip_ci_in","lin_ci_in"
"230",231,-0.154084059580482,0.01433237352443,-0.17468904319244,0.0198490549481952,-0.38872681505549,0.0805586958945266,-0.450821850394313,0.101443764009433,FALSE,TRUE
"NA.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,-0.275783182243436,0.00776904603860463,-0.174957801831899,0.038195550324378,-0.448538704393602,-0.10302766009327,-0.558006928844151,0.208091325180353,TRUE,TRUE
"NA.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,-0.582728865420145,0.00531952382076733,-0.331943264085183,0.0484222128231383,-0.725678967564842,-0.439778763275449,-0.76323427554609,0.099347747375725,FALSE,TRUE
"NA.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,-0.416209018932805,0.00192523903744157,-0.225261042618288,0.0725245062693201,-0.502207428699059,-0.33021060916655,-0.753086680802684,0.302564595566109,TRUE,TRUE
"NA.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,-0.374130386041388,0.0044881957749796,-0.380956273912811,0.0365773451470712,-0.505436209403483,-0.242824562679294,-0.755803396287773,-0.00610915153784863,TRUE,TRUE
"218",219,-0.438931652711517,0.00716227799931091,-0.526276449164501,0.0950456442163783,-0.604803880636255,-0.273059424786778,-1.13052302825582,0.0779701299268181,TRUE,TRUE
"144",144,-0.527182569940454,0.0125356059967678,-0.546214953093822,0.0166900864667247,-0.746625077739262,-0.307740062141647,-0.799422930605881,-0.293006975581764,TRUE,TRUE
"NA.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,-0.401952663612154,0.00280339156640236,-0.473961572816628,0.0544040082590874,-0.50572700177249,-0.298178325451817,-0.931116642139924,-0.0168065034933326,TRUE,TRUE
"NA.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",147,-0.349356987996213,0.0113695419492202,-0.522429910106025,0.0663689625269489,-0.558344134031762,-0.140369841960664,-1.02735924825094,-0.0175005719611065,TRUE,TRUE
"21",21,-0.427133415375473,0.00453200079952883,-0.389291748543415,0.0621972260755729,-0.559078458657677,-0.295188372093268,-0.878094451820224,0.0995109547333937,TRUE,TRUE
"171",171,-0.467185860216759,0.00425062475320863,-0.180933303468961,0.044588862932155,-0.594969270531533,-0.339402449901984,-0.594800771162965,0.232934164225044,TRUE,TRUE
"123",123,-0.3502957893535,0.00311413387014361,-0.557405566750797,0.0802147568588275,-0.459670452892574,-0.240921125814427,-1.11251067867572,-0.00230045482587704,TRUE,TRUE
"NA.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,-0.388508376291808,0.0022873018151255,-0.340276212961555,0.0341864054551892,-0.482245112597824,-0.294771639985792,-0.702665049411662,0.0221126234885517,TRUE,TRUE
"184",185,-0.403559294627398,0.00383788173720354,-0.387537432564792,0.136018202294372,-0.524980316910038,-0.282138272344758,-1.11038480440665,0.335309939277061,TRUE,TRUE
"NA.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",200,-0.360201137596472,0.00152178528461543,-0.230005339002281,0.0365965882047023,-0.436659462877559,-0.283742812315386,-0.60495105049431,0.144940372489749,TRUE,TRUE
"177",177,-0.339473824026888,0.00859235321691879,-0.20131127157928,0.0959484011222564,-0.521152581881658,-0.157795066172118,-0.808420678377256,0.405798135218695,TRUE,TRUE
"NA.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,-0.518309072491682,0.00873332420359763,-0.412823026827383,0.0516059528478636,-0.701472129072128,-0.335146015911236,-0.858066940618184,0.0324208869634187,TRUE,TRUE
"NA.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,-0.415597661571633,0.00159702963969564,-0.991468273231624,0.0736017126134814,-0.493923414656547,-0.33727190848672,-1.52319935953113,-0.459737186932119,TRUE,FALSE
"NA.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,-0.486942067954344,0.0105583030730896,-0.490116685456019,0.0123593147465542,-0.68833543048569,-0.285548705422998,-0.708010693292136,-0.272222677619902,TRUE,TRUE
"NA.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",237,-0.393515478016651,0.0037685763382556,-0.450566292245237,0.0387164016708148,-0.513835180543091,-0.27319577549021,-0.836218289133478,-0.0649142953569952,TRUE,TRUE
"71",71,-0.3963805328939,0.00229521536105101,-0.382098040649271,0.0664677295928325,-0.490279283120418,-0.302481782667382,-0.887402944777361,0.123206863478819,TRUE,TRUE
"89",89,-0.365672160918704,0.00755609896818572,-0.58827682556264,0.0730041574530801,-0.536043646301014,-0.195300675536393,-1.11784501248051,-0.0587086386447733,TRUE,TRUE
"NA.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,-0.435314715703067,0.00278935807115341,-0.560831444206668,0.0330202872918911,-0.538828986055065,-0.331800445351068,-0.916986008798067,-0.204676879615269,TRUE,TRUE
"NA.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
