index,ART6m,test_0_6,test_6_12,tset_6_18,test_12_18,test_18_24,visit_test_6_18
44,-2963.138766,-3544.504596,-3191.548051,-2503.250377,-1960.180155,-801.7975917,-2553.612065
45,-2962.807436,-3544.504596,-3191.548051,-2503.250377,-1959.91782,-801.7975917,-2553.612065
46,-2962.807436,-3544.650442,-3191.548051,-2503.250377,-1959.91782,-801.4912644,-2553.081013
47,-2962.807436,-3544.650442,-3191.548051,-2503.250377,-1959.91782,-801.4912644,-2553.081013
48,-2962.807436,-3544.650442,-3191.447496,-2503.13339,-1959.91782,-801.4912644,-2553.081013
49,-2962.807436,-3544.650442,-3191.447496,-2503.13339,-1959.91782,-801.4912644,-2553.081013
50,-2963.28858,-3544.650442,-3191.447496,-2503.13339,-1959.931083,-801.4912644,-2553.081013
51,-2963.28858,-3544.957347,-3191.447496,-2503.13339,-1959.931083,-801.714273,-2553.008671
52,-2963.28858,-3544.957347,-3191.447496,-2503.13339,-1959.931083,-801.714273,-2553.008671
53,-2963.28858,-3544.957347,-3191.844273,-2502.896866,-1959.931083,-801.714273,-2553.008671
54,-2963.28858,-3544.957347,-3191.844273,-2502.896866,-1959.931083,-801.714273,-2553.008671
55,-2963.402663,-3544.957347,-3191.844273,-2502.896866,-1960.115994,-801.714273,-2553.008671
56,-2963.402663,-3544.987334,-3191.844273,-2502.896866,-1960.115994,-801.3910435,-2553.236344
57,-2963.402663,-3544.987334,-3191.844273,-2502.896866,-1960.115994,-801.3910435,-2553.236344
58,-2963.402663,-3544.987334,-3192.329051,-2502.794698,-1960.115994,-801.3910435,-2553.236344
59,-2963.402663,-3544.987334,-3192.329051,-2502.794698,-1960.115994,-801.3910435,-2553.236344
60,-2963.358567,-3544.987334,-3192.329051,-2502.794698,-1960.114543,-801.3910435,-2553.236344
61,-2963.358567,-3544.388558,-3192.329051,-2502.794698,-1960.114543,-801.3089118,-2553.459621
62,-2963.358567,-3544.388558,-3192.329051,-2502.794698,-1960.114543,-801.3089118,-2553.459621
63,-2963.358567,-3544.388558,-3192.408908,-2502.875822,-1960.114543,-801.3089118,-2553.459621
64,-2963.358567,-3544.388558,-3192.408908,-2502.875822,-1960.114543,-801.3089118,-2553.459621
65,-2963.014838,-3544.388558,-3192.408908,-2502.875822,-1960.12063,-801.3089118,-2553.459621
66,-2963.014838,-3544.045443,-3192.408908,-2502.875822,-1960.12063,-801.5547907,-2553.393544
